Time,cpu_usage_total.derivative
2021-04-13 13:15:03,0.00512
2021-04-13 13:15:04,0.00469
2021-04-13 13:15:05,0.00428
2021-04-13 13:15:07,0.00498
2021-04-13 13:15:09,0.00408
2021-04-13 13:15:10,0.0074
2021-04-13 13:15:12,0.00398
2021-04-13 13:15:13,0.00625
2021-04-13 13:15:15,0.00386
2021-04-13 13:15:17,0.00388
2021-04-13 13:15:18,0.017
2021-04-13 13:15:20,0.0213
2021-04-13 13:15:22,0.00401
2021-04-13 13:15:23,0.00441
2021-04-13 13:15:25,0.00323
2021-04-13 13:15:26,0.0045
2021-04-13 13:15:27,0.00578
2021-04-13 13:15:29,0.00405
2021-04-13 13:15:30,0.00385
2021-04-13 13:15:32,0.00408
2021-04-13 13:15:33,0.00384
2021-04-13 13:15:35,0.00392
2021-04-13 13:15:37,0.00337
2021-04-13 13:15:38,0.00418
2021-04-13 13:15:39,0.00403
2021-04-13 13:15:41,0.00398
2021-04-13 13:15:42,0.0125
2021-04-13 13:15:44,0.00399
2021-04-13 13:15:46,0.00383
2021-04-13 13:15:47,0.00416
2021-04-13 13:15:49,0.00355
2021-04-13 13:15:50,0.0038
2021-04-13 13:15:51,0.00474
2021-04-13 13:15:53,0.00412
2021-04-13 13:15:54,0.00395
2021-04-13 13:15:55,0.00359
2021-04-13 13:15:57,0.00566
2021-04-13 13:15:59,0.00405
2021-04-13 13:16:00,0.00749
2021-04-13 13:16:01,0.0069
2021-04-13 13:16:02,0.0039
2021-04-13 13:16:04,0.00425
2021-04-13 13:16:06,0.00403
2021-04-13 13:16:08,0.00453
2021-04-13 13:16:09,0.00453
2021-04-13 13:16:11,0.00437
2021-04-13 13:16:13,0.00493
2021-04-13 13:16:14,0.00386
2021-04-13 13:16:16,0.00386
2021-04-13 13:16:17,0.00425
2021-04-13 13:16:19,0.00389
2021-04-13 13:16:20,0.00437
2021-04-13 13:16:22,0.00447
2021-04-13 13:16:24,0.00404
2021-04-13 13:16:25,0.00385
2021-04-13 13:16:27,0.00378
2021-04-13 13:16:28,0.00928
2021-04-13 13:16:29,0.004
2021-04-13 13:16:30,0.00384
2021-04-13 13:16:32,0.00486
2021-04-13 13:16:33,0.00458
2021-04-13 13:16:34,0.00429
2021-04-13 13:16:36,0.00415
2021-04-13 13:16:37,0.00425
2021-04-13 13:16:39,0.00404
2021-04-13 13:16:41,0.00423
2021-04-13 13:16:42,0.00896
2021-04-13 13:16:43,0.00436
2021-04-13 13:16:45,0.00365
2021-04-13 13:16:47,0.00405
2021-04-13 13:16:48,0.00446
