Time,memory_usage.mean
2021-04-13 13:15:01,564543488
2021-04-13 13:15:03,564543488
2021-04-13 13:15:04,556650496
2021-04-13 13:15:05,556650496
2021-04-13 13:15:07,556650496
2021-04-13 13:15:09,556650496
2021-04-13 13:15:10,556650496
2021-04-13 13:15:12,556650496
2021-04-13 13:15:13,563720192
2021-04-13 13:15:15,563720192
2021-04-13 13:15:17,563720192
2021-04-13 13:15:18,556556288
2021-04-13 13:15:20,556556288
2021-04-13 13:15:22,556556288
2021-04-13 13:15:23,556556288
2021-04-13 13:15:25,556556288
2021-04-13 13:15:26,556556288
2021-04-13 13:15:27,556556288
2021-04-13 13:15:29,556560384
2021-04-13 13:15:30,556560384
2021-04-13 13:15:32,556560384
2021-04-13 13:15:33,556560384
2021-04-13 13:15:35,556560384
2021-04-13 13:15:37,556560384
2021-04-13 13:15:38,556560384
2021-04-13 13:15:39,556560384
2021-04-13 13:15:41,556560384
2021-04-13 13:15:42,556560384
2021-04-13 13:15:44,556560384
2021-04-13 13:15:46,556560384
2021-04-13 13:15:47,556560384
2021-04-13 13:15:49,556560384
2021-04-13 13:15:50,556560384
2021-04-13 13:15:51,556560384
2021-04-13 13:15:53,556560384
2021-04-13 13:15:54,556560384
2021-04-13 13:15:55,556560384
2021-04-13 13:15:57,564953088
2021-04-13 13:15:59,564879360
2021-04-13 13:16:00,564879360
2021-04-13 13:16:01,564879360
2021-04-13 13:16:02,564879360
2021-04-13 13:16:04,564883456
2021-04-13 13:16:06,564883456
2021-04-13 13:16:08,564887552
2021-04-13 13:16:09,564891648
2021-04-13 13:16:11,564891648
2021-04-13 13:16:13,564912128
2021-04-13 13:16:14,564912128
2021-04-13 13:16:16,564912128
2021-04-13 13:16:17,564912128
2021-04-13 13:16:19,564912128
2021-04-13 13:16:20,564912128
2021-04-13 13:16:22,564912128
2021-04-13 13:16:24,564912128
2021-04-13 13:16:25,564912128
2021-04-13 13:16:27,564912128
2021-04-13 13:16:28,564916224
2021-04-13 13:16:29,564916224
2021-04-13 13:16:30,564916224
2021-04-13 13:16:32,564916224
2021-04-13 13:16:33,564916224
2021-04-13 13:16:34,564916224
