Time,memory_usage.mean
2021-04-09 12:30:01,894242816
2021-04-09 12:30:02,894242816
2021-04-09 12:30:04,894263296
2021-04-09 12:30:06,894394368
2021-04-09 12:30:07,894275584
2021-04-09 12:30:08,894488576
2021-04-09 12:30:10,894545920
2021-04-09 12:30:11,894418944
2021-04-09 12:30:13,894550016
2021-04-09 12:30:14,894570496
2021-04-09 12:30:16,894619648
2021-04-09 12:30:17,894189568
2021-04-09 12:30:19,894074880
2021-04-09 12:30:21,894074880
2021-04-09 12:30:22,894205952
2021-04-09 12:30:23,894078976
2021-04-09 12:30:25,894078976
2021-04-09 12:30:26,894078976
2021-04-09 12:30:28,894472192
2021-04-09 12:30:29,894586880
2021-04-09 12:30:30,894480384
2021-04-09 12:30:32,894271488
2021-04-09 12:30:33,894402560
2021-04-09 12:30:35,894291968
2021-04-09 12:30:37,894291968
2021-04-09 12:30:38,894529536
2021-04-09 12:30:40,894529536
2021-04-09 12:30:42,894455808
2021-04-09 12:30:43,894586880
2021-04-09 12:30:44,894672896
2021-04-09 12:30:45,894578688
2021-04-09 12:30:47,894513152
2021-04-09 12:30:48,894615552
2021-04-09 12:30:50,894656512
2021-04-09 12:30:51,894656512
2021-04-09 12:30:52,894918656
2021-04-09 12:30:54,894676992
2021-04-09 12:30:56,894808064
2021-04-09 12:30:57,894685184
2021-04-09 12:30:59,895057920
2021-04-09 12:31:00,895279104
2021-04-09 12:31:02,895340544
2021-04-09 12:31:03,895156224
2021-04-09 12:31:05,895156224
2021-04-09 12:31:07,895164416
2021-04-09 12:31:09,895516672
2021-04-09 12:31:10,895311872
2021-04-09 12:31:12,895328256
2021-04-09 12:31:14,895467520
2021-04-09 12:31:15,895479808
2021-04-09 12:31:16,895467520
2021-04-09 12:31:17,895610880
2021-04-09 12:31:19,895688704
2021-04-09 12:31:21,895643648
2021-04-09 12:31:22,895643648
2021-04-09 12:31:24,895774720
2021-04-09 12:31:25,895651840
2021-04-09 12:31:26,895782912
2021-04-09 12:31:27,895782912
2021-04-09 12:31:29,896045056
2021-04-09 12:31:30,896098304
2021-04-09 12:31:32,895971328
2021-04-09 12:31:33,895913984
