Time,memory_usage.mean
2021-04-09 13:40:00,322105344
2021-04-09 13:40:01,322105344
2021-04-09 13:40:02,322105344
2021-04-09 13:40:03,322105344
2021-04-09 13:40:04,322105344
2021-04-09 13:40:06,322269184
2021-04-09 13:40:07,322228224
2021-04-09 13:40:08,322228224
2021-04-09 13:40:10,322228224
2021-04-09 13:40:11,322285568
2021-04-09 13:40:13,322285568
2021-04-09 13:40:14,324435968
2021-04-09 13:40:16,324702208
2021-04-09 13:40:17,324509696
2021-04-09 13:40:19,324395008
2021-04-09 13:40:21,324526080
2021-04-09 13:40:22,324399104
2021-04-09 13:40:24,324399104
2021-04-09 13:40:26,324661248
2021-04-09 13:40:27,324612096
2021-04-09 13:40:28,324771840
2021-04-09 13:40:30,324620288
2021-04-09 13:40:31,326737920
2021-04-09 13:40:33,326737920
2021-04-09 13:40:35,327000064
2021-04-09 13:40:36,326860800
2021-04-09 13:40:37,326860800
2021-04-09 13:40:38,326860800
2021-04-09 13:40:40,326860800
2021-04-09 13:40:42,326873088
2021-04-09 13:40:43,327004160
2021-04-09 13:40:45,327004160
2021-04-09 13:40:46,327028736
2021-04-09 13:40:48,327028736
2021-04-09 13:40:50,327028736
2021-04-09 13:40:51,327122944
2021-04-09 13:40:53,327254016
2021-04-09 13:40:55,327127040
2021-04-09 13:40:56,327311360
2021-04-09 13:40:58,327311360
2021-04-09 13:41:00,327307264
2021-04-09 13:41:01,329797632
2021-04-09 13:41:02,329629696
2021-04-09 13:41:04,329502720
2021-04-09 13:41:05,329502720
2021-04-09 13:41:07,329613312
2021-04-09 13:41:09,329752576
2021-04-09 13:41:10,329666560
2021-04-09 13:41:11,329678848
2021-04-09 13:41:13,329678848
2021-04-09 13:41:14,329773056
2021-04-09 13:41:16,329986048
2021-04-09 13:41:18,329887744
2021-04-09 13:41:19,329887744
2021-04-09 13:41:20,329887744
2021-04-09 13:41:21,332115968
2021-04-09 13:41:23,331993088
2021-04-09 13:41:25,331993088
2021-04-09 13:41:26,332206080
2021-04-09 13:41:27,332107776
2021-04-09 13:41:28,338608128
2021-04-09 13:41:29,338567168
2021-04-09 13:41:31,338567168
2021-04-09 13:41:32,338567168
2021-04-09 13:41:34,338567168
2021-04-09 13:41:35,338567168
2021-04-09 13:41:36,338759680
2021-04-09 13:41:38,338714624
2021-04-09 13:41:40,338632704
2021-04-09 13:41:41,338632704
2021-04-09 13:41:42,338632704
2021-04-09 13:41:44,339017728
2021-04-09 13:41:46,339214336
2021-04-09 13:41:47,339038208
2021-04-09 13:41:48,339038208
2021-04-09 13:41:50,339038208
2021-04-09 13:41:51,339038208
2021-04-09 13:41:53,339038208
2021-04-09 13:41:54,339038208
2021-04-09 13:41:55,339185664
2021-04-09 13:41:57,339185664
2021-04-09 13:41:59,339193856
2021-04-09 13:42:00,339193856
2021-04-09 13:42:02,339197952
2021-04-09 13:42:03,339197952
2021-04-09 13:42:05,339197952
2021-04-09 13:42:07,339369984
2021-04-09 13:42:08,339369984
2021-04-09 13:42:09,339369984
2021-04-09 13:42:11,339369984
2021-04-09 13:42:12,339369984
2021-04-09 13:42:14,339611648
2021-04-09 13:42:15,340004864
2021-04-09 13:42:17,339836928
2021-04-09 13:42:18,339836928
2021-04-09 13:42:19,339738624
2021-04-09 13:42:21,339742720
2021-04-09 13:42:23,339742720
2021-04-09 13:42:25,339742720
2021-04-09 13:42:27,339742720
2021-04-09 13:42:28,339873792
2021-04-09 13:42:30,339873792
2021-04-09 13:42:31,339791872
2021-04-09 13:42:33,339791872
2021-04-09 13:42:34,339791872
2021-04-09 13:42:36,339791872
2021-04-09 13:42:37,339791872
2021-04-09 13:42:39,339804160
2021-04-09 13:42:41,339804160
2021-04-09 13:42:42,339804160
2021-04-09 13:42:44,339824640
2021-04-09 13:42:45,339955712
2021-04-09 13:42:47,339853312
2021-04-09 13:42:48,339853312
2021-04-09 13:42:49,339853312
2021-04-09 13:42:50,339853312
2021-04-09 13:42:51,339853312
2021-04-09 13:42:53,339853312
2021-04-09 13:42:54,339853312
2021-04-09 13:42:56,339984384
2021-04-09 13:42:58,339984384
2021-04-09 13:42:59,339865600
2021-04-09 13:43:00,339865600
2021-04-09 13:43:02,339865600
2021-04-09 13:43:03,339865600
2021-04-09 13:43:05,339865600
2021-04-09 13:43:06,339865600
2021-04-09 13:43:07,339865600
2021-04-09 13:43:09,339865600
2021-04-09 13:43:10,339865600
2021-04-09 13:43:12,339865600
2021-04-09 13:43:13,339865600
2021-04-09 13:43:14,339771392
2021-04-09 13:43:16,339771392
2021-04-09 13:43:18,339771392
2021-04-09 13:43:20,339771392
2021-04-09 13:43:21,339771392
2021-04-09 13:43:23,339902464
2021-04-09 13:43:25,339783680
2021-04-09 13:43:26,339783680
2021-04-09 13:43:28,339783680
2021-04-09 13:43:29,339795968
2021-04-09 13:43:31,339795968
2021-04-09 13:43:32,339795968
2021-04-09 13:43:33,339795968
2021-04-09 13:43:35,339795968
2021-04-09 13:43:36,339800064
2021-04-09 13:43:37,339800064
2021-04-09 13:43:39,339800064
