"Time","cpu_usage_total.derivative"
2021-04-13 15:08:03,0.00379
2021-04-13 15:08:04,0.00379
2021-04-13 15:08:06,0.00432
2021-04-13 15:08:07,0.00476
2021-04-13 15:08:08,0.00360
2021-04-13 15:08:10,0.00381
2021-04-13 15:08:11,0.00829
2021-04-13 15:08:12,0.00425
2021-04-13 15:08:14,0.00383
2021-04-13 15:08:15,0.00575
2021-04-13 15:08:17,0.00391
2021-04-13 15:08:18,0.00402
2021-04-13 15:08:20,0.00389
2021-04-13 15:08:22,0.00500
2021-04-13 15:08:23,0.00439
2021-04-13 15:08:25,0.00622
2021-04-13 15:08:27,0.00713
2021-04-13 15:08:28,0.00431
2021-04-13 15:08:29,0.00377
2021-04-13 15:08:31,0.0166
2021-04-13 15:08:33,0.00416
2021-04-13 15:08:34,0.00374
2021-04-13 15:08:36,0.00433
2021-04-13 15:08:38,0.00413
2021-04-13 15:08:40,0.00521
2021-04-13 15:08:41,0.0290
2021-04-13 15:08:42,0.00709
2021-04-13 15:08:44,0.00359
2021-04-13 15:08:46,0.00401
2021-04-13 15:08:47,0.00412
2021-04-13 15:08:48,0.00407
2021-04-13 15:08:50,0.00459
2021-04-13 15:08:52,0.00603
2021-04-13 15:08:53,0.00729
2021-04-13 15:08:55,0.00414
2021-04-13 15:08:56,0.00716
2021-04-13 15:08:58,0.00449
2021-04-13 15:08:59,0.00372
2021-04-13 15:09:00,0.0131
2021-04-13 15:09:02,0.00790
2021-04-13 15:09:03,0.0192
2021-04-13 15:09:05,0.00322
2021-04-13 15:09:06,0.00474
2021-04-13 15:09:08,0.00383
2021-04-13 15:09:09,0.00381
2021-04-13 15:09:11,0.00459
2021-04-13 15:09:12,0.00739
2021-04-13 15:09:14,0.00370
2021-04-13 15:09:15,0.00489
2021-04-13 15:09:16,0.00348
2021-04-13 15:09:17,0.00455
2021-04-13 15:09:18,0.00436
2021-04-13 15:09:20,0.00475
2021-04-13 15:09:21,0.00562
2021-04-13 15:09:23,0.00448
2021-04-13 15:09:24,0.00396
2021-04-13 15:09:26,0.00387
2021-04-13 15:09:27,0.00870
2021-04-13 15:09:29,0.00437
2021-04-13 15:09:30,0.00464
2021-04-13 15:09:31,0.00456
2021-04-13 15:09:33,0.00400
2021-04-13 15:09:34,0.00412
2021-04-13 15:09:36,0.00596
2021-04-13 15:09:37,0.00428
2021-04-13 15:09:38,0.00385
2021-04-13 15:09:40,0.00426
2021-04-13 15:09:41,0.00866
2021-04-13 15:09:43,0.00408
2021-04-13 15:09:45,0.00436
2021-04-13 15:09:46,0.00795
2021-04-13 15:09:48,0.00452
2021-04-13 15:09:49,0.00410
2021-04-13 15:09:50,0.00724
2021-04-13 15:09:52,0.00572
2021-04-13 15:09:54,0.00405
2021-04-13 15:09:55,0.00413
2021-04-13 15:09:57,0.00684
2021-04-13 15:09:58,0.00422
2021-04-13 15:09:59,0.00395
2021-04-13 15:10:00,0.0127
2021-04-13 15:10:02,0.00602
2021-04-13 15:10:03,0.00414
2021-04-13 15:10:05,0.00422
2021-04-13 15:10:06,0.00465
2021-04-13 15:10:07,0.00450
2021-04-13 15:10:08,0.00431
2021-04-13 15:10:10,0.00643
2021-04-13 15:10:12,0.00817
2021-04-13 15:10:14,0.00401
2021-04-13 15:10:15,0.00408
2021-04-13 15:10:16,0.00410
2021-04-13 15:10:18,0.00419
2021-04-13 15:10:20,0.00428
2021-04-13 15:10:21,0.00653
2021-04-13 15:10:22,0.00482
2021-04-13 15:10:23,0.00427
2021-04-13 15:10:25,0.00488
2021-04-13 15:10:27,0.00803
2021-04-13 15:10:28,0.00374
2021-04-13 15:10:30,0.00460
2021-04-13 15:10:32,0.00529
2021-04-13 15:10:33,0.00486
2021-04-13 15:10:34,0.00388
2021-04-13 15:10:36,0.00581
2021-04-13 15:10:38,0.00617
2021-04-13 15:10:39,0.00378
2021-04-13 15:10:41,0.0148
