Time,cpu_usage_total.derivative
2021-04-09 13:40:01,0.00106
2021-04-09 13:40:02,0.000118
2021-04-09 13:40:03,0.000212
2021-04-09 13:40:04,0.000235
2021-04-09 13:40:06,0.000639
2021-04-09 13:40:07,0.000188
2021-04-09 13:40:08,0.000374
2021-04-09 13:40:10,0.000195
2021-04-09 13:40:11,0.0196
2021-04-09 13:40:13,0.000181
2021-04-09 13:40:14,0.00261
2021-04-09 13:40:16,0.000455
2021-04-09 13:40:17,0.000183
2021-04-09 13:40:19,0.000129
2021-04-09 13:40:21,0.000788
2021-04-09 13:40:22,0.00018
2021-04-09 13:40:24,0.000339
2021-04-09 13:40:26,0.000507
2021-04-09 13:40:27,0.00022
2021-04-09 13:40:28,0.00156
2021-04-09 13:40:30,0.000358
2021-04-09 13:40:31,0.00379
2021-04-09 13:40:33,0.000182
2021-04-09 13:40:35,0.000458
2021-04-09 13:40:36,0.000204
2021-04-09 13:40:37,0.000188
2021-04-09 13:40:38,0.000315
2021-04-09 13:40:40,0.000294
2021-04-09 13:40:42,0.00123
2021-04-09 13:40:43,0.00217
2021-04-09 13:40:45,0.000181
2021-04-09 13:40:46,0.000625
2021-04-09 13:40:48,0.000174
2021-04-09 13:40:50,0.000177
2021-04-09 13:40:51,0.00235
2021-04-09 13:40:53,0.000447
2021-04-09 13:40:55,0.000225
2021-04-09 13:40:56,0.00094
2021-04-09 13:40:58,0.000197
2021-04-09 13:41:00,0.00239
2021-04-09 13:41:01,0.0048
2021-04-09 13:41:02,0.00021
2021-04-09 13:41:04,0.000187
2021-04-09 13:41:05,0.000236
2021-04-09 13:41:07,0.000701
2021-04-09 13:41:09,0.000629
2021-04-09 13:41:10,0.00122
2021-04-09 13:41:11,0.00222
2021-04-09 13:41:13,0.000157
2021-04-09 13:41:14,0.00947
2021-04-09 13:41:16,0.00057
2021-04-09 13:41:18,0.000189
2021-04-09 13:41:19,0.000211
2021-04-09 13:41:20,0.000538
2021-04-09 13:41:21,0.00108
2021-04-09 13:41:23,0.000436
2021-04-09 13:41:25,0.000163
2021-04-09 13:41:26,0.000984
2021-04-09 13:41:27,0.000195
2021-04-09 13:41:28,0.00832
2021-04-09 13:41:29,0.000365
2021-04-09 13:41:31,0.000823
2021-04-09 13:41:32,0.000129
2021-04-09 13:41:34,0.000205
2021-04-09 13:41:35,0.000182
2021-04-09 13:41:36,0.000808
2021-04-09 13:41:38,0.000184
2021-04-09 13:41:40,0.000398
2021-04-09 13:41:41,0.00122
2021-04-09 13:41:42,0.000119
2021-04-09 13:41:44,0.00187
2021-04-09 13:41:46,0.000632
2021-04-09 13:41:47,0.00014
2021-04-09 13:41:48,0.000176
2021-04-09 13:41:50,0.000197
2021-04-09 13:41:51,0.00127
2021-04-09 13:41:53,0.000162
2021-04-09 13:41:54,0.000439
2021-04-09 13:41:55,0.00106
2021-04-09 13:41:57,0.000157
2021-04-09 13:41:59,0.00202
2021-04-09 13:42:00,0.000132
2021-04-09 13:42:02,0.00112
2021-04-09 13:42:03,0.000212
2021-04-09 13:42:05,0.000133
2021-04-09 13:42:07,0.00115
2021-04-09 13:42:08,0.000305
2021-04-09 13:42:09,0.00023
2021-04-09 13:42:11,0.000744
2021-04-09 13:42:12,0.000149
2021-04-09 13:42:14,0.00269
2021-04-09 13:42:15,0.00124
2021-04-09 13:42:17,0.000175
2021-04-09 13:42:18,0.00017
2021-04-09 13:42:19,0.000266
2021-04-09 13:42:21,0.00175
2021-04-09 13:42:23,0.000263
2021-04-09 13:42:25,0.000175
2021-04-09 13:42:27,0.000446
2021-04-09 13:42:28,0.00252
2021-04-09 13:42:30,0.000175
2021-04-09 13:42:31,0.00112
2021-04-09 13:42:33,0.000165
2021-04-09 13:42:34,0.000215
2021-04-09 13:42:36,0.000631
2021-04-09 13:42:37,0.00016
2021-04-09 13:42:39,0.000514
2021-04-09 13:42:41,0.000951
2021-04-09 13:42:42,0.000155
2021-04-09 13:42:44,0.00251
2021-04-09 13:42:45,0.00195
2021-04-09 13:42:47,0.000181
2021-04-09 13:42:48,0.000233
