Time,cpu_usage_total.derivative
2021-04-09 12:30:01,0.379
2021-04-09 12:30:02,0.00699
2021-04-09 12:30:04,0.0126
2021-04-09 12:30:06,0.0101
2021-04-09 12:30:07,0.00525
2021-04-09 12:30:08,0.00605
2021-04-09 12:30:10,0.00601
2021-04-09 12:30:11,0.00535
2021-04-09 12:30:13,0.00573
2021-04-09 12:30:14,0.203
2021-04-09 12:30:16,0.244
2021-04-09 12:30:17,0.0382
2021-04-09 12:30:19,0.00575
2021-04-09 12:30:21,0.00573
2021-04-09 12:30:22,0.0061
2021-04-09 12:30:23,0.00526
2021-04-09 12:30:25,0.0044
2021-04-09 12:30:26,0.00572
2021-04-09 12:30:28,0.00761
2021-04-09 12:30:29,0.22
2021-04-09 12:30:30,0.349
2021-04-09 12:30:32,0.0571
2021-04-09 12:30:33,0.00589
2021-04-09 12:30:35,0.00418
2021-04-09 12:30:37,0.00483
2021-04-09 12:30:38,0.00979
2021-04-09 12:30:40,0.0064
2021-04-09 12:30:42,0.0052
2021-04-09 12:30:43,0.00555
2021-04-09 12:30:44,0.137
2021-04-09 12:30:45,0.305
2021-04-09 12:30:47,0.0503
2021-04-09 12:30:48,0.00563
2021-04-09 12:30:50,0.00565
2021-04-09 12:30:51,0.00717
2021-04-09 12:30:52,0.0101
2021-04-09 12:30:54,0.00455
2021-04-09 12:30:56,0.00865
2021-04-09 12:30:57,0.00555
2021-04-09 12:30:59,0.0876
2021-04-09 12:31:00,0.446
2021-04-09 12:31:02,0.00905
2021-04-09 12:31:03,0.005
2021-04-09 12:31:05,0.00383
2021-04-09 12:31:07,0.00763
2021-04-09 12:31:09,0.0106
2021-04-09 12:31:10,0.00645
2021-04-09 12:31:12,0.00446
2021-04-09 12:31:14,0.166
2021-04-09 12:31:15,0.354
2021-04-09 12:31:16,0.0608
2021-04-09 12:31:17,0.00888
2021-04-09 12:31:19,0.00489
2021-04-09 12:31:21,0.00536
2021-04-09 12:31:22,0.0057
2021-04-09 12:31:24,0.00471
2021-04-09 12:31:25,0.0055
2021-04-09 12:31:26,0.00387
2021-04-09 12:31:27,0.00578
2021-04-09 12:31:29,0.0769
2021-04-09 12:31:30,0.39
2021-04-09 12:31:32,0.00322
2021-04-09 12:31:33,0.00871
2021-04-09 12:31:35,0.0101
2021-04-09 12:31:36,0.00442
2021-04-09 12:31:37,0.00713
2021-04-09 12:31:39,0.00539
