visibility,parent-FQN,method-name,param-list,return-type,local-variables,conditionals,multiple-statements,loops,parameters,returns,switches,ifs,static,returns-primitives,classification
public,com.hs.mail.container.server.socket.DefaultServerSocketFactory,createServerSocket,int,java.net.ServerSocket,False,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.container.simple.SimpleSpringContainer,createFileSystemXmlApplicationContext,java.lang.String[],java.lang.Object,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.container.server.socket.TcpSocketChannel,getInputStream,,java.io.InputStream,False,False,False,False,False,True,False,False,False,False,not-covered
public,com.hs.mail.container.server.socket.TcpSocketChannel,getOutputStream,,java.io.OutputStream,False,False,False,False,False,True,False,False,False,False,not-covered
public,com.hs.mail.container.server.socket.TcpTransport,getRemoteAddress,,java.net.InetAddress,False,False,False,False,False,True,False,False,False,False,not-covered
public,com.hs.mail.smtp.message.SmtpMessage,getDate,,java.lang.String,False,False,False,False,False,True,False,False,False,False,not-covered
public,com.hs.mail.smtp.message.SmtpMessage,getDataFile,,java.io.File,False,False,False,False,False,True,False,False,False,False,not-covered
public,com.hs.mail.mailet.LocalDelivery,accept,"java.util.Set,com.hs.mail.smtp.message.SmtpMessage",boolean,False,False,False,False,True,True,False,False,False,True,not-covered
public,com.hs.mail.smtp.message.SmtpMessage,getMailMessage,,com.hs.mail.imap.message.MailMessage,False,False,True,False,False,True,False,True,False,False,not-covered
public,com.hs.mail.imap.processor.fetch.BodyStructureBuilder,build,java.io.InputStream,com.hs.mail.imap.processor.fetch.MimeDescriptor,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.processor.fetch.BodyStructureBuilder,build,"java.util.Date,long",com.hs.mail.imap.processor.fetch.MimeDescriptor,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.mailet.RemoteDelivery,accept,"java.util.Set,com.hs.mail.smtp.message.SmtpMessage",boolean,False,False,False,False,True,True,False,False,False,True,not-covered
public,com.hs.mail.smtp.spool.SmtpMessageConsumer,consume,"com.hs.mail.smtp.spool.Watcher,java.lang.Object",int,True,True,True,False,True,True,False,True,False,True,not-covered
public,com.hs.mail.imap.server.ImapServer$1,getPipeline,,org.jboss.netty.channel.ChannelPipeline,True,False,True,False,False,True,False,True,False,False,not-covered
public,com.hs.mail.imap.parser.Token,isLiteral,,boolean,False,False,False,False,False,True,False,False,False,True,not-covered
public,com.hs.mail.imap.message.builder.CapabilityRequestBuilder,createRequest,"java.lang.String,java.lang.String,com.hs.mail.imap.server.codec.ImapMessage",com.hs.mail.imap.message.request.ImapRequest,False,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.responder.AbstractImapResponder,untagged,java.lang.String,org.jboss.netty.channel.ChannelFuture,False,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.responder.AbstractImapResponder,okCompleted,com.hs.mail.imap.message.request.ImapRequest,org.jboss.netty.channel.ChannelFuture,False,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.builder.LoginRequestBuilder,createRequest,"java.lang.String,java.lang.String,com.hs.mail.imap.server.codec.ImapMessage",com.hs.mail.imap.message.request.ImapRequest,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.builder.SelectRequestBuilder,createRequest,"java.lang.String,java.lang.String,com.hs.mail.imap.server.codec.ImapMessage",com.hs.mail.imap.message.request.ImapRequest,True,False,True,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.response.SelectResponseBuilder,build,"com.hs.mail.imap.mailbox.UidToMsnMapper,com.hs.mail.imap.mailbox.Mailbox",com.hs.mail.imap.message.response.SelectResponse,True,False,True,False,True,True,False,True,False,False,not-covered
public,com.hs.mail.imap.message.responder.AbstractImapResponder,untaggedOK,java.lang.String,org.jboss.netty.channel.ChannelFuture,False,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.responder.AbstractImapResponder,okCompleted,"com.hs.mail.imap.message.request.ImapRequest,java.lang.String",org.jboss.netty.channel.ChannelFuture,False,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.builder.FetchRequestBuilder,createRequest,"java.lang.String,java.lang.String,com.hs.mail.imap.server.codec.ImapMessage,boolean",com.hs.mail.imap.message.request.ImapRequest,True,False,True,False,True,True,False,True,False,False,not-covered
public,com.hs.mail.imap.message.response.FetchResponseBuilder,build,"long,javax.mail.FetchProfile,com.hs.mail.imap.message.FetchData",com.hs.mail.imap.message.response.FetchResponse,True,False,True,False,True,True,False,True,False,False,not-covered
public,com.hs.mail.imap.message.builder.CloseRequestBuilder,createRequest,"java.lang.String,java.lang.String,com.hs.mail.imap.server.codec.ImapMessage",com.hs.mail.imap.message.request.ImapRequest,False,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.builder.LogoutRequestBuilder,createRequest,"java.lang.String,java.lang.String,com.hs.mail.imap.server.codec.ImapMessage",com.hs.mail.imap.message.request.ImapRequest,False,False,False,False,True,True,False,False,False,False,not-covered
public,com.hs.mail.imap.message.responder.AbstractImapResponder,bye,java.lang.String,org.jboss.netty.channel.ChannelFuture,False,False,False,False,True,True,False,False,False,False,not-covered
