PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
6167,longz,20,0,5601324,1.026g,21876,S,0,6.6,3:45.86,java
6167,longz,20,0,5601324,1.026g,21876,S,23.6,6.6,3:48.70,java
6167,longz,20,0,5601324,1.026g,21876,S,8.8,6.6,3:49.76,java
6167,longz,20,0,5601324,1.026g,21876,S,26.2,6.6,3:52.91,java
6167,longz,20,0,5601324,1.026g,21876,S,9.3,6.6,3:54.03,java
6167,longz,20,0,5601324,1.027g,21876,S,26.8,6.6,3:57.26,java
6167,longz,20,0,5601324,1.027g,21876,S,11.3,6.6,3:58.62,java
6167,longz,20,0,5601324,1.028g,21876,S,24.9,6.6,4:01.62,java
6167,longz,20,0,5601324,1.028g,21876,S,12,6.6,4:03.07,java
6167,longz,20,0,5601324,1.028g,21876,S,25.5,6.6,4:06.15,java
6167,longz,20,0,5601324,1.028g,21876,S,11.9,6.6,4:07.58,java
AVERAGE,,,,,,,,16.39,6.60,,
