PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
3027,longz,20,0,5688352,1.148g,36548,S,6.2,7.3,2:36.92,java
3027,longz,20,0,5688352,1.157g,36548,S,188,7.4,2:42.58,java
3027,longz,20,0,5688352,1.165g,36548,S,270.5,7.5,2:50.75,java
3027,longz,20,0,5688352,1.168g,36548,S,210.6,7.5,2:57.09,java
3027,longz,20,0,5753888,1.173g,36548,S,122.9,7.5,3:00.79,java
3027,longz,20,0,5688352,1.169g,36548,S,55.8,7.5,3:02.47,java
3027,longz,20,0,5688352,1.170g,36548,S,158.1,7.5,3:07.23,java
3027,longz,20,0,5688352,1.171g,36548,S,156,7.5,3:11.94,java
3027,longz,20,0,5819424,1.286g,36548,S,234.9,8.2,3:19.01,java
3027,longz,20,0,5819424,1.299g,36548,S,36.2,8.3,3:20.10,java
3027,longz,20,0,5819424,1.282g,36804,S,157.6,8.2,3:24.86,java
3027,longz,20,0,5819424,1.283g,36804,S,181.4,8.2,3:30.32,java
3027,longz,20,0,5819424,1.283g,36804,S,106,8.2,3:33.51,java
3027,longz,20,0,5819424,1.286g,36804,S,76.8,8.2,3:35.83,java
3027,longz,20,0,5819424,1.287g,36804,S,85.4,8.2,3:38.40,java
3027,longz,20,0,5819424,1.287g,36804,S,125.9,8.2,3:42.19,java
3027,longz,20,0,5819424,1.287g,36804,S,130.9,8.2,3:46.13,java
3027,longz,20,0,5819424,1.287g,36804,S,94.7,8.2,3:48.98,java
3027,longz,20,0,5819424,1.287g,36804,S,32.2,8.2,3:49.95,java
3027,longz,20,0,5819424,1.287g,36804,S,139.2,8.2,3:54.14,java
3027,longz,20,0,5819424,1.288g,36804,S,128.6,8.2,3:58.01,java
3027,longz,20,0,5819424,1.288g,36804,S,127.6,8.2,4:01.85,java
3027,longz,20,0,5819424,1.288g,36804,S,22.3,8.2,4:02.52,java
AVERAGE,,,,,,,,123.82,7.95,,
