PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
31789,longz,20,0,5616880,1.079g,35916,S,0,6.9,3:35.41,java
31789,longz,20,0,5616880,1.080g,35916,S,32.9,6.9,3:39.37,java
31789,longz,20,0,5616880,1.081g,35916,S,15.8,6.9,3:41.28,java
31789,longz,20,0,5616880,1.081g,35916,S,26.2,6.9,3:44.44,java
31789,longz,20,0,5616880,1.082g,35916,S,26.2,6.9,3:47.60,java
31789,longz,20,0,5616880,1.082g,35916,S,20.8,6.9,3:50.10,java
31789,longz,20,0,5618928,1.083g,35916,S,21.1,6.9,3:52.65,java
31789,longz,20,0,5618928,1.083g,35916,S,23.3,6.9,3:55.46,java
31789,longz,20,0,5618928,1.084g,35916,S,25.5,6.9,3:58.53,java
31789,longz,20,0,5618928,1.085g,35916,S,16.1,6.9,4:00.47,java
31789,longz,20,0,5618928,1.085g,35916,S,30,6.9,4:04.09,java
AVERAGE,,,,,,,,21.62727273,6.9,,
