#,method,invocations,collected-profiles,unique-profiles,generated-tests,passing-tests,failing-tests,Descartes-classification,comments for failing test cases,avg-size-on-disk-kb
1,com.turn.ttorrent.bcodec.BEValue.getLong,6,6,2,2,2,0,tested,,0.15 KB
2,com.turn.ttorrent.client.storage.FileCollectionStorage.read,1168,600,600,600,0,600,pseudo-tested,Objects depend on external states (files),353.29 KB
3,com.turn.ttorrent.client.network.ShutdownProcessor.processAndGetNext,8,8,8,8,8,0,pseudo-tested,,1151.11 KB
4,com.turn.ttorrent.common.protocol.PeerMessage$HaveMessage.validate,1,36,36,36,0,36,pseudo-tested,AssertionError due to object comparisons,5907.92 KB
5,com.turn.ttorrent.network.ConnectionWorker.stop,1,0,0,0,0,0,pseudo-tested,,0.00 KB
*,TOTAL,1184,650,646,646,10,636,tested/partially-tested:1 + pseudo-tested:6,,7412.48 KB
